id,action
0,альпинизм
1,игра на воздушных барабанах
2,отвечать на вопросы
3,аплодисменты
4,нанесение крема
5,стрельба из лука
6,армрестлинг
7,составление букетов
8,сборка компьютера
9,аукцион
10,пробуждение ребенка
11,выпекание печенья
12,надувание шаров
13,перевязка
14,барбекю
15,бармен
16,битбокс
17,пчеловодство
18,танец живота
19,жим лежа
20,прогиб назад
21,сгибание металла
22,катание на велосипеде по снегу
23,пескоструйная обработка
24,выдувание стекла
25,выдувание листьев
26,высмаркивание
27,задувание свечей
28,бобслей
29,переплет книг
30,прыжки на батуте
31,боулинг
32,плетение волос
33,панировка
34,брейкданс
35,рисование кистью
36,расчесывание волос
37,чистка зубов
38,строительство шкафа
39,строительство сарая
40,прыжки с банджи
41,уличное выступление
42,каноэ или каякинг
43,капоэйра
44,ношение ребенка
45,колесо
46,резьба по тыкве
47,ловля рыбы
48,ловля или бросание бейсбольного мяча
49,ловля или бросание фрисби
50,ловля или бросание софтбольного мяча
51,празднование
52,замена масла
53,замена колеса
54,проверка шин
55,чирлидинг
56,рубка дров
57,хлопанье
58,изготовление глиняной посуды
59,толчок
60,уборка пола
61,чистка желобов
62,чистка бассейна
63,чистка обуви
64,чистка туалета
65,чистка окон
66,лазание по канату
67,подъем по лестнице
68,лазание по дереву
69,жонглирование контактами
70,приготовление курицы
71,приготовление яиц
72,приготовление на костре
73,приготовление сосисок
74,подсчет денег
75,кантри танцы
76,треск шеи
77,ползание ребенка
78,переправа через реку
79,плач
80,завивка волос
81,стрижка ногтей
82,нарезка ананаса
83,нарезка арбуза
84,балет
85,танец чарльстон
86,танец Gangnam Style
87,танец макарена
88,мертвая тяга
89,украшение новогодней елки
90,копание
91,обед
92,диск-гольф
93,прыжки с утеса
94,доджбол
95,аэробика
96,стирка
97,маникюр
98,рисование
99,ведение баскетбольного мяча
100,питье
101,питье пива
102,питье шотов
103,вождение автомобиля
104,вождение трактора
105,дроп-кик
106,барабанные пальцы
107,данк в баскетболе
108,окрашивание волос
109,поедание бургера
110,поедание торта
111,поедание моркови
112,поедание чипсов
113,поедание пончиков
114,поедание хот-дога
115,поедание мороженого
116,поедание спагетти
117,поедание арбуза
118,охота на яйца
119,упражнение для рук
120,упражнения с мячом для фитнеса
121,тушение огня
122,падение лицом вниз
123,кормление птиц
124,кормление рыб
125,кормление коз
126,заполнение бровей
127,щелкание пальцами
128,укладка волос
129,переворачивание блинов
130,запуск воздушного змея
131,складывание одежды
132,складывание салфеток
133,складывание бумаги
134,подъем перед собой
135,жарка овощей
136,сбор мусора
137,полоскание горла
138,стрижка
139,татуировка
140,вручение или получение награды
141,короткий удар в гольфе
142,драйв в гольфе
143,паттинг в гольфе
144,измельчение мяса
145,уход за собакой
146,уход за лошадью
147,акробатические упражнения
148,метание молота
149,тряска головой
150,удар головой
151,прыжки в высоту
152,высокий удар
153,удар по бейсбольному мячу
154,хоккейная остановка
155,держание змеи
156,классики
157,катание на ховерборде
158,обнимание
159,хула-хуп
160,барьерный бег
161,хёрлинг
162,ледолазание
163,подледная рыбалка
164,катание на коньках
165,глажка
166,метание копья
167,катание на гидроцикле
168,бег трусцой
169,жонглирование мячами
170,жонглирование огнем
171,жонглирование футбольным мячом
172,прыжки в бассейн
173,танец Jumpstyle
174,удар по воротам
175,удар по футбольному мячу
176,поцелуй
177,кайтсерфинг
178,вязание
179,крэмпинг
180,смех
181,укладка кирпичей
182,прыжки в длину
183,выпады
184,приготовление торта
185,приготовление сэндвича
186,заправка кровати
187,изготовление украшений
188,приготовление пиццы
189,изготовление снеговика
190,приготовление суши
191,приготовление чая
192,маршировка
193,массаж спины
194,массаж ног
195,массаж ноги
196,массаж головы
197,доение коровы
198,мытье пола
199,езда на мотоцикле
200,перестановка мебели
201,стрижка газона
202,ведение новостей
203,открывание бутылки
204,открывание подарка
205,парапланеризм
206,парасейлинг
207,паркур
208,передача американского футбольного мяча (в игре)
209,передача американского футбольного мяча (не в игре)
210,чистка яблок
211,чистка картофеля
212,поглаживание животного (не кошки)
213,поглаживание кошки
214,сбор фруктов
215,посадка деревьев
216,штукатурка
217,игра на аккордеоне
218,игра в бадминтон
219,игра на волынке
220,игра в баскетбол
221,игра на бас-гитаре
222,игра в карты
223,игра на виолончели
224,игра в шахматы
225,игра на кларнете
226,игра на контроллере
227,игра в крикет
228,игра на тарелках
229,игра на диджериду
230,игра на барабанах
231,игра на флейте
232,игра на гитаре
233,игра на гармонике
234,игра на арфе
235,игра в хоккей
236,игра на клавиатуре
237,игра в кикбол
238,игра в монополию
239,игра на органе
240,игра в пейнтбол
241,игра на пианино
242,игра в покер
243,игра на блокфлейте
244,игра на саксофоне
245,игра в сквош или ракетбол
246,игра в теннис
247,игра на тромбоне
248,игра на трубе
249,игра на укулеле
250,игра на скрипке
251,игра в волейбол
252,игра на ксилофоне
253,прыжки с шестом
254,представление прогноза погоды
255,подтягивания
256,качание кулаком
257,заправка бензина
258,удар по груше
259,удар по человеку (бокс)
260,отжимания
261,толкание автомобиля
262,толкание тележки
263,толкание инвалидного кресла
264,чтение книги
265,чтение газеты
266,запись музыки
267,езда на велосипеде
268,езда на верблюде
269,езда на слоне
270,езда на механическом быке
271,езда на горном велосипеде
272,езда на муле
273,езда или прогулка с лошадью
274,езда на самокате
275,езда на одноколесном велосипеде
276,рвать бумагу
277,робот танец
278,скалолазание
279,камень-ножницы-бумага
280,катание на роликовых коньках
281,бег на беговой дорожке
282,парусный спорт
283,сальса
284,шлифовка пола
285,взбивание яиц
286,подводное плавание с аквалангом
287,накрытие на стол
288,рукопожатие
289,качание головой
290,заточка ножей
291,заточка карандашей
292,бритье головы
293,бритье ног
294,стрижка овец
295,чистка обуви
296,бросок в баскетболе
297,удар по воротам (футбол)
298,толкание ядра
299,чистка снега
300,уничтожение бумаги
301,тасование карт
302,боковой удар
303,перевод на жестовом языке
304,пение
305,подъем туловища
306,скейтбординг
307,прыжки на лыжах
308,катание на лыжах
309,катание на лыжах по пересеченной местности
310,слалом на лыжах
311,прыжки через скакалку
312,парашютный спорт
313,хождение по канату
314,пощечина
315,гонки на собачьих упряжках
316,курение
317,курение кальяна
318,рывок в тяжелой атлетике
319,чихание
320,нюхание
321,сноркелинг
322,сноубординг
323,катание на кайтах по снегу
324,катание на снегоходе
325,сальто
326,кручение пои
327,распыление краски
328,распыление
329,прыжки в воду
330,приседания
331,высовывание языка
332,давка винограда
333,растяжка руки
334,растяжка ноги
335,бренчание на гитаре
336,серфинг по толпе
337,серфинг на воде
338,подметание пола
339,плавание на спине
340,плавание брассом
341,плавание баттерфляем
342,свинг танец
343,качание ногами
344,качание на чем-то
345,фехтование
346,тай чи
347,принятие душа
348,танго
349,чечетка
350,бренчание на гитаре
351,постукивание ручкой
352,дегустация пива
353,дегустация еды
354,дача показаний
355,переписка
356,метание топора
357,бросок мяча
358,метание диска
359,щекотка
360,катание на санях
361,подбрасывание монеты
362,перемешивание салата
363,тренировка собаки
364,работа на трапеции
365,стрижка или бритье бороды
366,обрезка деревьев
367,тройной прыжок
368,завязывание галстука-бабочки
369,завязывание узла (не на галстуке)
370,завязывание галстука
371,распаковка
372,разгрузка грузовика
373,работа на компьютере
374,использование пульта (не для игр)
375,езда на сегвее
376,прыжок с трамплина
377,ожидание в очереди
378,прогулка с собакой
379,мытье посуды
380,мытье ног
381,мытье волос
