id,action
0,abseiling
5,archery
6,arm wrestling
10,baby waking up
15,bartending
19,bench pressing
21,bending metal
22,biking through snow
28,bobsledding
34,breakdancing
40,bungee jumping
41,busking
42,canoeing or kayaking
43,capoeira
45,cartwheeling
55,cheerleading
56,chopping wood
59,clean and jerk
66,climbing a rope
67,climbing ladder
68,climbing tree
94,dodgeball
122,faceplanting
138,getting a haircut
139,getting a tattoo
149,headbanging
150,headbutting
166,javelin throw
167,jetskiing
170,juggling fire
207,parkour
220,playing basketball
240,playing paintball
258,punching bag
259,punching person (boxing)
260,push up
271,riding mountain bike
274,riding scooter
275,riding unicycle
278,rock climbing
280,roller skating
290,sharpening knives
306,skateboarding
307,ski jumping
308,skiing (not slalom or crosscountry)
309,skiing crosscountry
310,skiing slalom
311,skipping rope
312,skydiving
313,slacklining
316,smoking
317,smoking hookah
345,sword fighting
346,tai chi
356,throwing axe
360,tobogganing
361,tossing coin
364,trapezing
383,water skiing
384,water sliding
391,welding
395,wrestling
