id,action
0,альпинизм
5,стрельба из лука
6,армрестлинг
10,пробуждение ребенка
15,бармен
19,жим лежа
21,сгибание металла
22,катание на велосипеде по снегу
28,бобслей
34,брейкданс
40,прыжки с банджи
41,уличное выступление
42,каноэ или каякинг
43,капоэйра
45,колесо
55,чирлидинг
56,рубка дров
59,толчок
66,лазание по канату
67,подъем по лестнице
68,лазание по дереву
94,доджбол
122,падение лицом вниз
138,стрижка
139,татуировка
149,тряска головой
150,удар головой
166,метание копья
167,катание на гидроцикле
170,жонглирование огнем
207,паркур
220,игра в баскетбол
240,игра в пейнтбол
258,удар по груше
259,удар по человеку (бокс)
260,отжимания
271,езда на горном велосипеде
274,езда на самокате
275,езда на одноколесном велосипеде
278,скалолазание
280,катание на роликовых коньках
290,заточка ножей
306,скейтбординг
307,прыжки на лыжах
308,катание на лыжах
309,катание на лыжах по пересеченной местности
310,слалом на лыжах
311,прыжки через скакалку
312,парашютный спорт
313,хождение по канату
316,курение
317,курение кальяна
345,фехтование
346,тай чи
356,метание топора
360,катание на санях
361,подбрасывание монеты
364,работа на трапеции
383,водные лыжи
384,водная горка
391,сварка
395,борьба
